REGI?O:;UF:;ESTAC?O:;CODIGO (WMO):;LATITUDE:;LONGITUDE:;ALTITUDE:;Arquivo
NE;PI;FLORIANO;A311;-6.76138888;-43.00333333;126.39;INMET_NE_PI_A311_FLORIANO_01-01-2019_A_31-12-2019.CSV
N;PA;BREVES;A228;-1.680251;-50.478139;11.0;INMET_N_PA_A228_BREVES_01-01-2019_A_31-12-2019.CSV
SE;ES;VITORIA;A612;-20.271094;-40.306069;9.0;INMET_SE_ES_A612_VITORIA_01-01-2019_A_31-12-2019.CSV
CO;MS;TRES LAGOAS;A704;-20.783333;-51.712222;328.94;INMET_CO_MS_A704_TRES LAGOAS_01-01-2019_A_31-12-2019.CSV
CO;GO;ALTO PARAISO DE GOIAS;A024;-14.133074;-47.523258;1264.7;INMET_CO_GO_A024_ALTO PARAISO DE GOIAS_01-01-2019_A_31-12-2019.CSV
N;TO;PEDRO AFONSO;A020;-8.968677;-48.177259;189.71;INMET_N_TO_A020_PEDRO AFONSO_01-01-2019_A_31-12-2019.CSV
N;AM;NOVO ARIPUANA;A144;-8.0911111;-60.38055554;45.0;INMET_N_AM_A144_NOVO ARIPUANA_18-07-2019_A_31-12-2019.CSV
SE;SP;BRAGANCA PAULISTA;A744;-23.951972;-46.530472;891.0;INMET_SE_SP_A744_BRAGANCA PAULISTA_01-01-2019_A_31-12-2019.CSV
NE;BA;IRECE;A424;-11.328998;-41.864504;768.42;INMET_NE_BA_A424_IRECE_01-01-2019_A_31-12-2019.CSV
NE;CE;QUIXERAMOBIM;A325;-5.174568;-39.289393;221.04;INMET_NE_CE_A325_QUIXERAMOBIM_01-01-2019_A_31-12-2019.CSV
N;AC;EPITACIOLANDIA;A140;-11.023752;-68.73518;224.5;INMET_N_AC_A140_EPITACIOLANDIA_01-01-2019_A_31-12-2019.CSV
CO;MT;COMODORO;A913;-13.70805555;-59.7625;576.87;INMET_CO_MT_A913_COMODORO_01-01-2019_A_31-12-2019.CSV
SE;SP;BERTIOGA;A765;-23.844678;-46.143376;5.0;INMET_SE_SP_A765_BERTIOGA_01-01-2019_A_31-12-2019.CSV
NE;BA;MACAJUBA;A412;-12.131694;-40.354222;338.85;INMET_NE_BA_A412_MACAJUBA_01-01-2019_A_31-12-2019.CSV
SE;SP;IBITINGA;A737;-21.855567;-48.799717;496.75;INMET_SE_SP_A737_IBITINGA_01-01-2019_A_31-12-2019.CSV
SE;RJ;NOVA FRIBURGO - SALINAS;A624;-22.33472221;-42.67694443;1070.0;INMET_SE_RJ_A624_NOVA FRIBURGO - SALINAS_01-01-2019_A_31-12-2019.CSV
S;RS;TRAMANDAI;A834;-30.010268;-50.135887;4.56;INMET_S_RS_A834_TRAMANDAI_01-01-2019_A_31-12-2019.CSV
SE;ES;ALEGRE;A617;-20.75055555;-41.48888888;138.0;INMET_SE_ES_A617_ALEGRE_01-01-2019_A_31-12-2019.CSV
SE;RJ;PICO DO COUTO;A610;-22.46472222;-43.29138888;1777.0;INMET_SE_RJ_A610_PICO DO COUTO_01-01-2019_A_31-12-2019.CSV
S;PR;NOVA TEBAS;A822;-24.43722221;-51.96305555;656.24;INMET_S_PR_A822_NOVA TEBAS_01-01-2019_A_31-12-2019.CSV
NE;MA;TURIACU;A219;-1.661224;-45.372571;35.86;INMET_NE_MA_A219_TURIACU_01-01-2019_A_31-12-2019.CSV
SE;MG;BAMBUI;A565;-20.0311111;-46.00888888;697.0;INMET_SE_MG_A565_BAMBUI_01-01-2019_A_31-12-2019.CSV
NE;BA;ITAMARAJU;A455;-17.436667;-39.550861;110.0;INMET_NE_BA_A455_ITAMARAJU_01-01-2019_A_31-12-2019.CSV
CO;MS;NHUMIRIM;A717;-18.988681;-56.622868;102.26;INMET_CO_MS_A717_NHUMIRIM_01-01-2019_A_31-12-2019.CSV
N;PA;BELEM;A201;-1.411228;-48.439512;21.17;INMET_N_PA_A201_BELEM_01-01-2019_A_31-12-2019.CSV
NE;CE;CRATEUS;A342;-5.186636;-40.672128;298.19;INMET_NE_CE_A342_CRATEUS_01-01-2019_A_31-12-2019.CSV
N;PA;CONCEICAO DO ARAGUAIA;A241;-8.30361;-49.28277;175.74;INMET_N_PA_A241_CONCEICAO DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
N;PA;CASTANHAL;A202;-1.300875;-47.947967;47.13;INMET_N_PA_A202_CASTANHAL_01-01-2019_A_31-12-2019.CSV
SE;SP;JOSE BONIFACIO;A735;-21.085675;-49.920388;408.35;INMET_SE_SP_A735_JOSE BONIFACIO_01-01-2019_A_31-12-2019.CSV
S;RS;SAO GABRIEL;A832;-30.341438;-54.310909;114.89;INMET_S_RS_A832_SAO GABRIEL_01-01-2019_A_31-12-2019.CSV
CO;MT;S.J. DO RIO CLARO;A903;-13.453981;-56.677323;339.59;INMET_CO_MT_A903_S.J. DO RIO CLARO_01-01-2019_A_31-12-2019.CSV
SE;SP;BARRETOS;A748;-20.55916666;-48.54499999;534.36;INMET_SE_SP_A748_BARRETOS_01-01-2019_A_31-12-2019.CSV
SE;MG;PASSOS;A516;-20.745237;-46.633916;781.7;INMET_SE_MG_A516_PASSOS_01-01-2019_A_31-12-2019.CSV
NE;MA;GRAJAU;A207;-5.816085;-46.1622;232.29;INMET_NE_MA_A207_GRAJAU_01-01-2019_A_31-12-2019.CSV
N;AC;PORTO WALTER;A136;-8.267197;-72.747838;205.35;INMET_N_AC_A136_PORTO WALTER_01-01-2019_A_31-12-2019.CSV
N;AP;OIAPOQUE;A242;3.813583;-51.8625;15.14;INMET_N_AP_A242_OIAPOQUE_01-01-2019_A_31-12-2019.CSV
S;SC;RIO DO CAMPO;A861;-26.937526;-50.145445;591.67;INMET_S_SC_A861_RIO DO CAMPO_01-01-2019_A_31-12-2019.CSV
S;PR;CIDADE GAUCHA;A869;-23.359156;-52.931912;365.79;INMET_S_PR_A869_CIDADE GAUCHA_01-01-2019_A_31-12-2019.CSV
S;RS;MOSTARDAS;A878;-31.248279;-50.906279;3.82;INMET_S_RS_A878_MOSTARDAS_01-01-2019_A_31-12-2019.CSV
NE;PI;ALVORADA DO GURGUEIA;A336;-8.44166666;-43.86555555;261.26;INMET_NE_PI_A336_ALVORADA DO GURGUEIA_01-01-2019_A_31-12-2019.CSV
S;PR;DOIS VIZINHOS;A843;-25.69916666;-53.09527777;545.95;INMET_S_PR_A843_DOIS VIZINHOS_01-01-2019_A_31-12-2019.CSV
N;PA;PACAJA;A210;-3.8436111;-50.63805555;89.02;INMET_N_PA_A210_PACAJA_01-01-2019_A_31-12-2019.CSV
S;SC;NOVO HORIZONTE;A816;-26.406499;-52.850366;943.57;INMET_S_SC_A816_NOVO HORIZONTE_01-01-2019_A_31-12-2019.CSV
SE;SP;SAO PAULO - MIRANTE;A701;-23.496294;-46.620088;785.64;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2019_A_31-12-2019.CSV
S;RS;VACARIA;A880;-28.513602;-50.882738;969.89;INMET_S_RS_A880_VACARIA_01-01-2019_A_31-12-2019.CSV
NE;SE;ARACAJU;A409;-10.952413;-37.05433;3.72;INMET_NE_SE_A409_ARACAJU_01-01-2019_A_31-12-2019.CSV
S;RS;SERAFINA CORREA;A894;-28.704806;-51.870751;545.0;INMET_S_RS_A894_SERAFINA CORREA_01-01-2019_A_31-12-2019.CSV
SE;SP;MARILIA;A763;-22.235222;-49.965111;660.0;INMET_SE_SP_A763_MARILIA_01-01-2019_A_31-12-2019.CSV
N;AP;MACAPA;A249;0.03502;-51.088763;16.62;INMET_N_AP_A249_MACAPA_01-01-2019_A_31-12-2019.CSV
SE;MG;IBIRITE (ROLA MOCA);A555;-20.031457;-44.011249;1198.82;INMET_SE_MG_A555_IBIRITE (ROLA MOCA)_01-01-2019_A_31-12-2019.CSV
CO;MS;COXIM;A720;-18.51222222;-54.7361111;251.48;INMET_CO_MS_A720_COXIM_01-01-2019_A_31-12-2019.CSV
NE;CE;TIANGUA;A368;-3.732169;-41.011881;756.0;INMET_NE_CE_A368_TIANGUA_01-01-2019_A_31-12-2019.CSV
NE;BA;ITIRUCU;A407;-13.527828;-40.119752;757.42;INMET_NE_BA_A407_ITIRUCU_01-01-2019_A_31-12-2019.CSV
CO;MS;BANDEIRANTES;S703;-19.945539;-54.368533;624.0;INMET_CO_MS_S703_BANDEIRANTES_01-01-2019_A_31-12-2019.CSV
NE;BA;BELMONTE;A447;-16.08805555;-39.21527777;89.67;INMET_NE_BA_A447_BELMONTE_01-01-2019_A_31-12-2019.CSV
SE;SP;CAMPOS DO JORDAO;A706;-22.750231;-45.603836;1662.95;INMET_SE_SP_A706_CAMPOS DO JORDAO_01-01-2019_A_31-12-2019.CSV
S;RS;ALEGRETE;A826;-29.709083;-55.525486;120.88;INMET_S_RS_A826_ALEGRETE_01-01-2019_A_31-12-2019.CSV
CO;GO;PORANGATU;A005;-13.309528;-49.117478;365.0;INMET_CO_GO_A005_PORANGATU_01-01-2019_A_31-12-2019.CSV
N;RO;CACOAL;A939;-11.445837;-61.434146;183.53;INMET_N_RO_A939_CACOAL_01-01-2019_A_31-12-2019.CSV
S;PR;SAO MATEUS DO SUL;A874;-25.835604;-50.368994;780.21;INMET_S_PR_A874_SAO MATEUS DO SUL_01-01-2019_A_31-12-2019.CSV
CO;MS;DOURADOS;A721;-22.19392;-54.911355;463.3;INMET_CO_MS_A721_DOURADOS_01-01-2019_A_31-12-2019.CSV
S;RS;URUGUAIANA;A809;-29.83987;-57.081899;74.29;INMET_S_RS_A809_URUGUAIANA_01-01-2019_A_31-12-2019.CSV
SE;SP;VOTUPORANGA;A729;-20.403221;-49.966031;510.37;INMET_SE_SP_A729_VOTUPORANGA_01-01-2019_A_31-12-2019.CSV
SE;SP;PRESIDENTE PRUDENTE;A707;-22.119867;-51.408637;431.92;INMET_SE_SP_A707_PRESIDENTE PRUDENTE_01-01-2019_A_31-12-2019.CSV
NE;BA;SERRINHA;A441;-11.664586;-39.022946;337.79;INMET_NE_BA_A441_SERRINHA_01-01-2019_A_31-12-2019.CSV
NE;CE;BARBALHA;A315;-7.30083333;-39.2711111;409.41;INMET_NE_CE_A315_BARBALHA_01-01-2019_A_31-12-2019.CSV
NE;CE;MORADA NOVA;A332;-5.136689;-38.35659;45.03;INMET_NE_CE_A332_MORADA NOVA_01-01-2019_A_31-12-2019.CSV
CO;MS;AQUIDAUANA;A719;-20.47555554;-55.78388888;151.35;INMET_CO_MS_A719_AQUIDAUANA_01-01-2019_A_31-12-2019.CSV
SE;MG;BARBACENA;A502;-21.228373;-43.767703;1168.76;INMET_SE_MG_A502_BARBACENA_01-01-2019_A_31-12-2019.CSV
NE;MA;BACABAL;A220;-4.243056;-44.794993;22.33;INMET_NE_MA_A220_BACABAL_01-01-2019_A_31-12-2019.CSV
S;RS;CAMAQUA;A838;-30.807953;-51.83424;92.3;INMET_S_RS_A838_CAMAQUA_01-01-2019_A_31-12-2019.CSV
N;PA;ITAITUBA;A231;-4.27694443;-55.99305555;24.46;INMET_N_PA_A231_ITAITUBA_01-01-2019_A_31-12-2019.CSV
NE;BA;LUIZ EDUARDO MAGALHAES;A404;-12.152394;-45.829745;760.68;INMET_NE_BA_A404_LUIZ EDUARDO MAGALHAES_01-01-2019_A_31-12-2019.CSV
SE;MG;BELO HORIZONTE - CERCADINHO;F501;-19.980034;-43.958651;1199.55;INMET_SE_MG_F501_BELO HORIZONTE - CERCADINHO_01-01-2019_A_31-12-2019.CSV
NE;BA;BOM JESUS DA LAPA;A418;-13.251094;-43.405365;447.75;INMET_NE_BA_A418_BOM JESUS DA LAPA_01-01-2019_A_31-12-2019.CSV
SE;SP;BARUERI;A755;-23.52389;-46.86945;776.5;INMET_SE_SP_A755_BARUERI_01-01-2019_A_31-12-2019.CSV
N;AM;PARINTINS;A123;-2.639152;-56.756177;18.72;INMET_N_AM_A123_PARINTINS_01-01-2019_A_31-12-2019.CSV
S;SC;Laguna  - Farol de Santa Marta;A866;-28.604414;-48.813313;34.36;INMET_S_SC_A866_Laguna  - Farol de Santa Marta_01-01-2019_A_31-12-2019.CSV
N;TO;PEIXE;A018;-12.015377;-48.544517;250.87;INMET_N_TO_A018_PEIXE_01-01-2019_A_31-12-2019.CSV
NE;RN;NATAL;A304;-5.83722221;-35.20805555;47.46;INMET_NE_RN_A304_NATAL_01-01-2019_A_31-12-2019.CSV
NE;PI;TERESINA;A312;-5.034769;-42.801341;75.23;INMET_NE_PI_A312_TERESINA_01-01-2019_A_31-12-2019.CSV
SE;MG;AIMORES;A534;-19.532768;-41.090801;287.74;INMET_SE_MG_A534_AIMORES_01-01-2019_A_31-12-2019.CSV
CO;MT;ALTO TAQUARI;A934;-17.8411111;-53.28944444;862.42;INMET_CO_MT_A934_ALTO TAQUARI_01-01-2019_A_31-12-2019.CSV
N;TO;CAMPOS LINDOS;A043;-8.15472222;-46.63944444;426.56;INMET_N_TO_A043_CAMPOS LINDOS_01-01-2019_A_31-12-2019.CSV
CO;GO;CRISTALINA;A036;-16.784896;-47.612966;1211.08;INMET_CO_GO_A036_CRISTALINA_01-01-2019_A_31-12-2019.CSV
NE;PI;GILBUES;A364;-9.875196;-45.345805;425.1;INMET_NE_PI_A364_GILBUES_01-01-2019_A_31-12-2019.CSV
SE;MG;SACRAMENTO;A525;-19.875271;-47.434102;913.12;INMET_SE_MG_A525_SACRAMENTO_01-01-2019_A_31-12-2019.CSV
CO;DF;BRAZLANDIA;A042;-15.59972221;-48.1311111;1143.0;INMET_CO_DF_A042_BRAZLANDIA_01-01-2019_A_31-12-2019.CSV
N;TO;COLINAS DO TOCANTINS;A049;-8.092708;-48.478605;200.0;INMET_N_TO_A049_COLINAS DO TOCANTINS_01-01-2019_A_31-12-2019.CSV
CO;MS;PARANAIBA;A710;-19.695517;-51.181769;408.06;INMET_CO_MS_A710_PARANAIBA_01-01-2019_A_31-12-2019.CSV
CO;MS;IVINHEMA;A709;-22.300421;-53.822895;377.36;INMET_CO_MS_A709_IVINHEMA_01-01-2019_A_31-12-2019.CSV
CO;MT;QUERENCIA;A916;-12.627315;-52.220891;360.59;INMET_CO_MT_A916_QUERENCIA_01-01-2019_A_31-12-2019.CSV
CO;GO;ITUMBIARA;A035;-18.409761;-49.192061;491.17;INMET_CO_GO_A035_ITUMBIARA_01-01-2019_A_31-12-2019.CSV
